# Isothermal calorimetry of a CEM I paste — holdout
#
# Source dataset: Šmilauer V., Reiterman P. (2025), Isothermal calorimetry
#   database of 65 cements and approximations. Zenodo.
#   doi: 10.5281/zenodo.15212785
#   license: CC-BY-4.0  <https://creativecommons.org/licenses/by/4.0/>
#   source file: 116-CEM I 52.5 R Ladce-415.csv
#
# Companion article, to be cited (CC BY-NC-ND 3.0 — cite, do not reproduce):
#   Šmilauer V., Edelmannová J., Reiterman P., Isothermal calorimetry database
#   of 65 cements with analytical approximations, Ceramics-Silikáty 70(1),
#   25-33 (2026). doi: 10.13168/cs.2025.0048
#
# cement: CEM I 42.5R Ladce-415
# blaine: 415 m2/kg
# wb: 0.45
# temperature: 20C
# Truncated from line: 2 with assigned time: 0.75 h normalized with binder mass: 20.483 g
# Released heat up to 45 minutes (J/g of binder): 12.0 estimated
# reference fit by the depositors: Fitted affinity hydration model, B1 1.078123 h^-1, B2 1.370e-03, eta 7.1694, DoHInf 0.85, Qpot 500.0 J/g, Ea 38300.0 J/mol
#
# Subset of the source record: 458 of 11951 rows, chosen as
#   the rows nearest to 500 log-spaced times. Values are verbatim; no
#   interpolation, no smoothing. Regenerate with data/experimental/regenerate.jl
#
# The fourth column is NOT a measurement: it is the depositors' own
#   affinity-model fit, read off their tabulated curve at the row nearest
#   in time. It is carried so that a fit can be judged against somebody
#   else's on the very same record.
#
# columns: hydration time (h), heat flow (W/g of binder), heat (J/g of
#   binder), depositors' fitted heat (J/g of binder)
time_h,heat_flow_W_per_g,heat_J_per_g,reference_fit_J_per_g
11.629021156827609,0.0028111941209238607,80.28644968503836,84.9355
11.783735755152172,0.00278359110123224,81.84451779430563,87.699
11.93845035360919,0.0027561260029647255,83.3872429820879,90.4552
12.093164951933755,0.0027289295298370086,84.91474704932168,90.4552
12.196308017571766,0.0027109202138338923,85.92469051072592,93.2013
12.35102261589633,0.002684185000917921,87.4271357129167,93.2013
12.50573721435335,0.00265783420577816,88.91480112278181,95.9352
12.660451812677913,0.0026318410862481855,90.3878835318302,98.6548
12.866737943821482,0.0025979591991498025,92.32974963818674,98.6548
13.021452542278501,0.002573229459264786,93.7698279819146,101.3583
13.176167140603065,0.002549001125747104,95.19627910299853,101.3583
13.330881738927628,0.002525405316944628,96.60940638439746,104.0441
13.485596337384647,0.0025023277804411405,98.00953822854854,106.7109
13.691882468528217,0.002472462053715628,99.8566995070194,106.7109
13.84659706685278,0.002450753082569176,101.2277263047739,109.3575
14.0013116653098,0.002429526948138986,102.58679356048148,109.3575
14.207597796453369,0.0024023086346760167,104.38087410318731,111.9829
14.362312394777932,0.002382674867531262,105.71340293745337,114.5863
14.568598526053957,0.0023574289807251035,107.47339727945483,114.5863
14.723313124378521,0.0023391659548025997,108.78130818021852,117.167
14.929599255522092,0.002315862981382305,110.50974142598938,117.167
15.13588538673189,0.0022944656953899733,112.2217700529321,119.7245
15.29059998512268,0.0022781936035923592,113.4951678511726,122.2582
15.49688611626625,0.0022573980795540954,115.17922471916665,122.2582
15.70317224740982,0.0022375652900058817,116.84821955181658,124.7679
